eng,french
do whatever it is that he tells you to do,Fais quoi quil te dise de faire
i dont handle loneliness well,Je ne gère pas bien la solitude
have you been working there for long,Cela faitil longtemps que vous travailler làbas
i think what impressed me most was the way tom could talk to just about anyone,Je pense que ce qui ma le plus impressionné cest la façon dont Tom pouvait parler à nimporte qui
the leaves of the trees have turned red,Les feuilles des arbres ont viré au rouge
tom is marys third husband,Tom est le troisième mari de Mary
would you like me to call you a cab,Voudraistu que je tappelle un taxi
they made fun of mary,Elles se sont moquées de Mary
lets wait here until it stops raining,Attendons ici quil sarrête de pleuvoir
tom doesnt have an ear for music,Tom na pas loreille musicale
your answer is wrong,Ta réponse est incorrecte
i stayed at a cheap hotel,Je séjournai dans un hôtel bon marché
does this not please you,Cela ne vous plaîtil pas
im not good at public speaking,Je ne suis pas bonne pour parler en public
im coming right away,Jarrive immédiatement
what is this for,Cest pour quoi faire
he not only speaks french but he speaks spanish too,Il ne parle pas seulement en français mais aussi en espagnol
were you shot,Taton tiré dessus
just do the job,Fais juste le boulot
i figured you should know,Je me suis figuré que tu devrais le savoir
i didnt look at it,Je ne lai pas regardé
please listen,Écoute sil te plaît
sit wherever you like,Asseyezvous où ça vous chante
she didnt intend to let him drive,Elle navait pas lintention de le laisser conduire
this is a big project,Cest un gros projet
i dont remember anything happening,Je ne me rappelle pas que quoi que ce soit ait eu lieu
tom is a mason,Tom est maçon
when is he coming back,Quand estce quil revient
are you still at the office,Êtesvous encore au bureau
dont open your book,Nouvrez pas votre livre
this movie is highly controversial,Ce film est très polémique
tom wanted to ask mary how old she was but he thought that maybe he shouldnt,Tom voulait demander son âge à Mary mais il a pensé quil devrait peutêtre ne pas le faire
what we want is freedom,Ce que nous voulons cest la liberté
she ran as fast as she was able to,Elle a couru aussi vite quelle a pu
thanks for doing all this,Merci de faire tout ceci
she lives next door to us,Elle vit la porte à côté de la nôtre
lets stop here,Arrêtonsnous là
you dont listen to me,Tu ne mécoutes pas
tom keeps hanging up on me,Tom continue de me raccrocher au nez
thats a good point,Cest une bonne remarque
he became famous all over the world,Il est devenu célèbre dans le monde entier
he was the man of her dreams,Il était lhomme de ses rêves
tom found the problem,Tom trouva le problème
i like a good cup of coffee,Jaime une bonne tasse de café
i can buy one,Je peux en acquérir une
no one was with me,Personne nétait avec moi
ive got mosquito bites all over my arm,Jai des piqûres de moustiques partout sur le bras
he drew a deep breath,Il prit une profonde inspiration
tom abandoned them,Tom les a abandonnés
were prisoners,Nous sommes des prisonnières
i thought tom was still in jail,Je pensais que Tom était toujours en prison
i think i am overworked,Je pense que je suis surmenée
i stood under a tree to avoid getting wet,Je me suis abrité sous un arbre pour éviter dêtre mouillé
stand up straight,Tenezvous droites
my father left me a large fortune,Mon père ma laissé un gros héritage
i finally caught up with my friends,Jai finalement rattrapé mes amies
tom was the only one in the house,Tom était le seul dans la maison
lets compare the translation with the original,Comparons la traduction à loriginal
the cost of living in tokyo is very high,Le coût de la vie à Tokyo est très élevé
i know that youre tired,Je sais que tu es fatigué
are you telling me youre not involved,Êtesvous en train de me dire que vous nêtes pas impliquée
tom is here because he wants to talk to mary,Tom est ici car il veut parler à Mary
italy invaded ethiopia in 1935,LItalie envahit lÉthiopie en milleneufcenttrentecinq
we were concerned,Nous avons été préoccupées
i guess not,Jimagine que non
tom showed his room to me,Tom ma montré sa chambre
listen closely,Écoutez attentivement
give me something cold to drink,Donnemoi quelque chose de frais à boire
my doctor told me that i needed to lose some weight,Mon médecin ma dit quil fallait que je perde du poids
they come from the same country,Ils proviennent du même pays
hes a smooth talker,Cest un beau parleur
nobody is going to hurt you,Personne ne va vous faire de mal
youre creative,Vous êtes créatives
who turned off the lights,Qui a éteint les lumières
he must have taken the wrong train,Il a dû prendre le mauvais train
are you working,Travaillezvous
ive spent all the money you gave me,Jai dépensé tout largent que tu mas donné
i know its none of my business,Je sais que ce ne sont pas mes affaires
do you have them,Les avezvous
hes still at work,Il est encore au travail
it was tom who did that,Cest Tom qui a fait cela
ill leave tom alone,Je laisserai Tom seul
can you force them to do that,Pouvezvous les forcer à faire cela
it was here that i saw her,Cest ici que je lai vue
it may be impossible to get a completely errorfree corpus due to the nature of this kind of collaborative effort however if we encourage members to contribute sentences in their own languages rather than experiment in languages they are learning we might be able to minimize errors,Il est peutêtre impossible dobtenir un Corpus complètement dénué de fautes étant donnée la nature de ce type dentreprise collaborative Cependant si nous encourageons les membres à produire des phrases dans leurs propres langues plutôt que dexpérimenter dans les langues quils apprennent nous pourrions être en mesure de réduire les erreurs
whose turn is it to make dinner tonight,Cest au tour de qui de préparer le dîner pour ce soir
youve got a big mouth,Vous avez une grande bouche
tom kept climbing,Tom continuait à grimper
when did you change your address,Quand astu changé dadresse
i refused at first,De prime abord j’ai refusé
see you tomorrow,Je vous verrai demain
maybe it really was an accident,Peutêtre que cétait vraiment un accident
you must control yourself,Il vous faut vous contrôler
im not hiding anything from you,Je ne te cache rien
i want tom to come back,Je veux que Tom revienne
is all this money yours,Estce que tout cet argent est à toi
tom said you were meeting him for lunch,Tom a dit que tu allais le recontrer pour déjeuner
this is mine isnt it,Cest la mienne non
i liked your dancing,Jai apprécié votre danse
they were enjoying themselves,Elles samusaient
i dont think that it will rain this afternoon,Je ne pense pas quil pleuvra cet aprèsmidi
dont you feel stupid now,Ne vous sentezvous pas stupide maintenant
tom is going to learn how to do that sooner or later,Tom apprendra un jour ou lautre comment le faire
i was a little afraid,Javais un peu peur
after a while passion and infatuation ooze away,Au bout dun moment la passion et lengouement sessoufflent
he likes to sing popular songs,Il aime chanter des chansons populaires
i read your letter to my family,Jai lu ta lettre à ma famille
dont judge a man by his appearance,Ne jugez pas un homme à son apparence
i already feel better,Je me sens déjà mieux
too many sweets make you fat,Trop de sucreries vous rendent gros
i believed you,Je vous ai crue
did you turn off the heater,Avezvous éteint le chauffage
they are pilots,Ils sont pilotes
i hope youll come,Jespère que tu viendras
i was late,Jétais en retard
i thought id find you here,Je pensais que je te trouverais ici
that pasture is ten acres,Le pâturage fait dix acres
we caught the thief,Nous avons attrapé le voleur
the stockholders are making money hand over fist,Les actionnaires sen mettent plein les poches
circumstances did not permit me to help you,Les circonstances ne mont pas permis de taider
we take good care of them,On soccupe bien deux
i want to talk to you alone,Je veux vous parler seule
the bus stop is close by,Larrêt de bus nest pas loin
you dont know how much i wanted to do that,Tu ne sais pas à quel point je voulais faire ça
